NISCode;houses_sum_ParcelsNumber;houses_avg_PriceP25;houses_avg_PriceP50;houses_avg_PriceP75;houses_avg_ParcelsAreaP50;houses_average_price_m2;houses_avg_PriceP50_filled;houses_avg_PriceP50_status;houses_avg_PriceP50_distance_m;houses_average_price_m2_filled;houses_average_price_m2_status;houses_average_price_m2_distance_m
11002J83-;10;319500;382500;428500;78;4903.84615384615;382500;observed;;4903.84615384615;observed;
24014A39-;12;350000;485000;660000;1077.5;450.116009280742;485000;observed;;450.116009280742;observed;
11002J8AN;26;214000;237500;282500;123;1930.89430894309;237500;observed;;1930.89430894309;observed;
11002S05-;32;212000;253900;317000;93.5;2715.50802139037;253900;observed;;2715.50802139037;observed;
11002L000;98;220000;306250;371250;282.5;1084.07079646018;306250;observed;;1084.07079646018;observed;
11002L011;71;257000;335000;425000;606;552.805280528053;335000;observed;;552.805280528053;observed;
11002L090;9;270000;316500;365000;1976;160.172064777328;316500;observed;;160.172064777328;observed;
11002L100;95;284250;331000;468500;471.25;702.387267904509;331000;observed;;702.387267904509;observed;
24133A09-;20;150000;215000;280000;571;376.532399299475;215000;observed;;376.532399299475;observed;
11002L111;45;239500;275000;377500;271.5;1012.89134438306;275000;observed;;1012.89134438306;observed;
11002L122;55;300000;333750;368500;347;961.815561959654;333750;observed;;961.815561959654;observed;
21010A10-;23;350000;425000;578085.46;143.75;2956.52173913043;425000;observed;;2956.52173913043;observed;
11002P00-;65;220000;276000;337500;143;1930.06993006993;276000;observed;;1930.06993006993;observed;
11002P01-;86;235000;277000;345000;155;1787.09677419355;277000;observed;;1787.09677419355;observed;
11002P02-;63;240000;280000;334000;232.25;1205.59741657696;280000;observed;;1205.59741657696;observed;
11002P03-;75;265000;335000;399000;325.75;1028.39600920952;335000;observed;;1028.39600920952;observed;
11002P22-;41;295000;322000;371000;215;1497.67441860465;322000;observed;;1497.67441860465;observed;
11002P04-;48;315000;351750;450500;240.5;1462.57796257796;351750;observed;;1462.57796257796;observed;
11002P05-;29;322000;330000;400000;225;1466.66666666667;330000;observed;;1466.66666666667;observed;
11002P100;94;315000;388000;459000;281.5;1378.33037300178;388000;observed;;1378.33037300178;observed;
33021E089;8;225000;230000;279000;786.5;292.434837889383;230000;observed;;292.434837889383;observed;
11002P111;59;340000;435000;540000;332.5;1308.27067669173;435000;observed;;1308.27067669173;observed;
11002P12-;35;289000;315500;345000;213;1481.220657277;315500;observed;;1481.220657277;observed;
11002P20-;47;230000;288750;335000;292;988.869863013699;288750;observed;;988.869863013699;observed;
11002Q012;62;230000;267000;300000;96.25;2774.02597402597;267000;observed;;2774.02597402597;observed;
11002P23-;53;290000;316500;383250;270.75;1168.97506925208;316500;observed;;1168.97506925208;observed;
11002P242;8;476000;490250;525000;599;818.447412353923;490250;observed;;818.447412353923;observed;
11002P2AP;55;345000;476200;580000;845.5;563.217031342401;476200;observed;;563.217031342401;observed;
11002P500;40;305000;365000;427000;396.5;920.554854981085;365000;observed;;920.554854981085;observed;
11002P589;6;325000;450000;560000;839;536.352800953516;450000;observed;;536.352800953516;observed;
21012A041;9;270000;290000;340000;73.75;3932.20338983051;290000;observed;;3932.20338983051;observed;
11002P6AK;13;280000;300000;320000;265;1132.07547169811;300000;observed;;1132.07547169811;observed;
11002P6BK;33;290000;307500;350000;204;1507.35294117647;307500;observed;;1507.35294117647;observed;
11002P6CK;34;284500;322500;339500;199.5;1616.54135338346;322500;observed;;1616.54135338346;observed;
11002P6DK;42;285000;312500;345000;195;1602.5641025641;312500;observed;;1602.5641025641;observed;
11002Q021;14;247500;306250;358500;123;2489.83739837398;306250;observed;;2489.83739837398;observed;
11002Q03-;57;290000;329000;375000;162.75;2021.50537634409;329000;observed;;2021.50537634409;observed;
11002R24-;61;249900;290000;330000;155.5;1864.95176848875;290000;observed;;1864.95176848875;observed;
11002Q001;80;197500;255000;307500;102;2500;255000;observed;;2500;observed;
11002Q04-;71;240000;300000;345000;190.25;1576.87253613666;300000;observed;;1576.87253613666;observed;
11002Q052;30;205000;232000;310000;92.5;2508.10810810811;232000;observed;;2508.10810810811;observed;
11002Q10-;111;250000;310000;365000;204.25;1517.74785801714;310000;observed;;1517.74785801714;observed;
33039G19-;7;76250;218750;365000;788;277.60152284264;218750;observed;;277.60152284264;observed;
