naam;jaar;zone;aantal
bewoonde_niet_geïsoleerde_woning_brussel;2029;C;1630.1846797799924
bewoonde_niet_geïsoleerde_woning_brussel;2029;D;7533.868933859002
bewoonde_niet_geïsoleerde_woning_brussel;2029;E;65843.77023065582
bewoonde_niet_geïsoleerde_woning_brussel;2029;F;171647.109552729
bewoonde_niet_geïsoleerde_woning_brussel;2029;Totaal;246654.93339702382
bewoonde_niet_geïsoleerde_woning_brussel;2030;A;0.0
bewoonde_niet_geïsoleerde_woning_brussel;2030;B;0.0
bewoonde_niet_geïsoleerde_woning_brussel;2030;C;1653.075687742363
bewoonde_niet_geïsoleerde_woning_brussel;2030;D;7639.659312023823
bewoonde_niet_geïsoleerde_woning_brussel;2030;E;66768.34662210237
bewoonde_niet_geïsoleerde_woning_brussel;2030;F;174057.37349412462
bewoonde_niet_geïsoleerde_woning_brussel;2030;Totaal;250118.4551159932
bewoonde_niet_geïsoleerde_woning_brussel;2031;A;0.0
bewoonde_niet_geïsoleerde_woning_brussel;2031;B;0.0
bewoonde_niet_geïsoleerde_woning_brussel;2031;C;1676.0945015636646
bewoonde_niet_geïsoleerde_woning_brussel;2031;D;7746.040342647907
bewoonde_niet_geïsoleerde_woning_brussel;2031;E;67698.08514009444
bewoonde_niet_geïsoleerde_woning_brussel;2031;F;176481.09450363144
bewoonde_niet_geïsoleerde_woning_brussel;2031;Totaal;253601.31448793746
bewoonde_niet_geïsoleerde_woning_vlaanderen;2026;A;46.400000000000006
bewoonde_niet_geïsoleerde_woning_vlaanderen;2026;B;784.0
bewoonde_niet_geïsoleerde_woning_vlaanderen;2026;C;5319.200000000001
bewoonde_niet_geïsoleerde_woning_vlaanderen;2026;D;12965.6
bewoonde_niet_geïsoleerde_woning_vlaanderen;2026;E;39832.8
bewoonde_niet_geïsoleerde_woning_vlaanderen;2026;F;50470.4
bewoonde_niet_geïsoleerde_woning_vlaanderen;2026;Totaal;109418.40000000001
bewoonde_niet_geïsoleerde_woning_vlaanderen;2027;A;47.068995316000006
bewoonde_niet_geïsoleerde_woning_vlaanderen;2027;B;795.304337678
bewoonde_niet_geïsoleerde_woning_vlaanderen;2027;C;5395.894664468001
bewoonde_niet_geïsoleerde_woning_vlaanderen;2027;D;13152.539647160002
bewoonde_niet_geïsoleerde_woning_vlaanderen;2027;E;40407.114053216006
bewoonde_niet_geïsoleerde_woning_vlaanderen;2027;F;51198.087966838
bewoonde_niet_geïsoleerde_woning_vlaanderen;2027;Totaal;110996.009664676
bewoonde_niet_geïsoleerde_woning_vlaanderen;2028;A;47.74153513293138
bewoonde_niet_geïsoleerde_woning_vlaanderen;2028;B;806.669173109802
bewoonde_niet_geïsoleerde_woning_vlaanderen;2028;C;5472.99802728563
bewoonde_niet_geïsoleerde_woning_vlaanderen;2028;D;13340.47129143099
bewoonde_niet_geïsoleerde_woning_vlaanderen;2028;E;40984.47546381322
bewoonde_niet_geïsoleerde_woning_vlaanderen;2028;F;51929.6368440903
bewoonde_niet_geïsoleerde_woning_vlaanderen;2028;Totaal;112581.99233486288
bewoonde_niet_geïsoleerde_woning_vlaanderen;2029;A;48.41770315968538
bewoonde_niet_geïsoleerde_woning_vlaanderen;2029;B;818.0959053091611
bewoonde_niet_geïsoleerde_woning_vlaanderen;2029;C;5550.519624864218
