id_inter_ss_lden;surface intersection between statistical sectors and lden noise contour;Surface of the polygone in lnight 45;Percentage of the surface of the polygone in lnight 45;Surface of the polygone in NA70;Percentage of the surface of the polygone in NA70
934;52452,44337;0;0;0;0
935;62594,90208;0;0;0;0
936;28188,63416;0;0;0;0
937;111038,3798;0;0;0;0
938;28702,62783;0;0;0;0
939;111328,4005;0;0;0;0
940;10704,47006;0;0;0;0
941;165146,5047;0;0;0;0
942;45218,42499;0;0;0;0
943;517,5231136;0;0;0;0
944;114015,2367;0;0;0;0
945;190562,954;0;0;0;0
946;46334,09117;0;0;0;0
947;45456,22317;0;0;0;0
948;78538,41548;0;0;0;0
949;66909,72417;0;0;0;0
950;141096,2899;0;0;0;0
951;12947,02907;0;0;0;0
952;67792,1398;0;0;0;0
953;91217,03114;0;0;0;0
954;167089,7875;0;0;0;0
955;31468,03839;0;0;0;0
956;19657,63716;0;0;0;0
957;177089,1175;0;0;0;0
958;193044,2808;0;0;0;0
959;599788,227;0;0;0;0
960;889,0121328;0;0;0;0
961;24107,72523;0;0;0;0
962;88468,60254;0;0;0;0
963;41523,49389;0;0;0;0
964;656,0996215;0;0;0;0
965;106174,2014;0;0;0;0
966;121983,6834;0;0;0;0
967;7163,892975;0;0;0;0
968;57791,68483;0;0;0;0
969;58650,93617;0;0;0;0
970;72248,72259;0;0;0;0
971;13449,93356;0;0;0;0
972;57400,56937;0;0;0;0
973;28377,11931;0;0;0;0
974;37227,79807;0;0;0;0
975;75834,92814;0;0;0;0
976;6977,744723;0;0;0;0
977;65566,5594;0;0;0;0
978;194554,9865;0;0;0;0
979;247517,7895;0;0;0;0
980;97324,75641;0;0;0;0
981;1079,689527;0;0;0;0
982;148215,3595;0;0;0;0
983;104908,9657;90764,34685;86,52;0;0
984;9721,440952;9721,440952;100;0;0
985;74004,25202;0;0;0;0
986;126721,4336;2749,769037;2,17;0;0
987;80635,11929;78759,54059;97,67;0;0
988;40953,98729;40953,98729;100;0;0
989;163035,3548;0;0;0;0
990;50831,70493;0;0;0;0
991;197416,3441;0;0;0;0
992;77243,74104;0;0;0;0
993;165787,4513;0;0;0;0
994;104437,8013;0;0;0;0
995;224090,4937;0;0;0;0
996;32641,86466;23308,55446;71,41;0;0
997;65416,65798;0;0;0;0
998;163334,0243;0;0;0;0
999;71047,0497;0;0;0;0
1000;85185,41297;0;0;0;0
1001;176107,2241;0;0;0;0
1002;197250,0392;0;0;0;0
1003;35630,04358;0;0;0;0
1004;154621,1594;0;0;0;0
1005;215378,439;0;0;0;0
1006;82627,83091;0;0;0;0
1007;24899,64147;0;0;0;0
1008;72470,62194;0;0;0;0
1009;62301,70355;0;0;0;0
1010;70060,57745;0;0;0;0
1011;184546,8668;0;0;0;0
1012;16653,42185;0;0;0;0
1013;55237,00646;0;0;0;0
1014;135928,5103;0;0;0;0
1015;153387,6954;0;0;0;0
1016;364,2408505;0;0;0;0
1017;62298,23715;0;0;0;0
1018;3152,887259;0;0;0;0
1019;101747,2637;0;0;0;0
1020;104422,9784;0;0;0;0
1021;34064,92178;0;0;0;0
1022;44465,5637;0;0;0;0
1023;31925,02458;0;0;0;0
1024;100517,7962;0;0;0;0
